id,fromLib,toLib,repoName,fileName,startCommit,endCommit,startCommitChanges,endCommitChanges,startCommitMessage,endCommitMessage,startCommitTime,endCommitTime,Category,repoOwner,repoSplitName,prev_commit,diff_files
3878,javax.servlet:jstl,javax.servlet.jsp.jstl:jstl-api,richfaces4_components,parent/pom.xml,82b5c6d243ac4b566ec9cfbf5cbe3a306481000d,82b5c6d243ac4b566ec9cfbf5cbe3a306481000d,"+javax.servlet.jsp.jstl:jstl-api
-javax.servlet:jstl","+javax.servlet.jsp.jstl:jstl-api
-javax.servlet:jstl","Updated jstl artifact in pom (RF-11077)
","Updated jstl artifact in pom (RF-11077)
",2011-06-19,2011-06-19,66,richfaces4,components,0a002564ee00679be07b70f4902e82e1fa8bb45a,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
729,com.github.sgroschupf:zkclient,com.101tec:zkclient,killme2008_Metamorphosis,pom.xml,f6254da1916ec87ac12fd5da1469408e91aa320a,f6254da1916ec87ac12fd5da1469408e91aa320a,"+com.101tec:zkclient
-com.github.sgroschupf:zkclient","+com.101tec:zkclient
-com.github.sgroschupf:zkclient","Upgrade zkclient to 0.3
","Upgrade zkclient to 0.3
",2013-07-14,2013-07-14,15,killme2008,Metamorphosis,efb075b1bed3368b8ff961656c2d9dc691c8a6e4,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
469,com.alibaba:dubbo,org.apache.dubbo:dubbo,apache_dubbo-admin,pom.xml,995e06b547cb7554c99deb3129fca19b2c35aa8b,995e06b547cb7554c99deb3129fca19b2c35aa8b,"+org.apache.dubbo:dubbo
+org.apache.dubbo:dubbo-metadata-report-api
-com.alibaba:dubbo","+org.apache.dubbo:dubbo
+org.apache.dubbo:dubbo-metadata-report-api
-com.alibaba:dubbo","change dubbo dependency to 2.7-SNAPSHOT
","change dubbo dependency to 2.7-SNAPSHOT
",2018-11-14,2018-11-14,16,apache,dubbo-admin,80013ffc38b3d737bd891a2b574ef75a93450bd9,"{'Added': [], 'Modified': ['dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/util/ConvertUtil.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/util/OverrideUtils.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/util/ParseUtils.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/util/RouteRule.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/util/SyncUtils.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/controller/AccessesController.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/controller/OverridesController.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/controller/ServiceController.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/handler/CustomExceptionHandler.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/model/domain/Consumer.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/model/domain/Override.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/model/domain/Provider.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/model/domain/Route.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/RegistryServerSync.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/AbstractService.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/ConsumerServiceImpl.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/OverrideServiceImpl.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/OwnerServiceImpl.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/ProviderServiceImpl.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/RouteServiceImpl.java'], 'Deleted': ['dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/ConfigService.java', 'dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/service/impl/ConfigServiceImpl.java'], 'Renamed': []}"
11215,org.postgresql:postgresql,org.mariadb.jdbc:mariadb-java-client,FundRequest_platform,core/pom.xml,101f86c7e7786dcfd0accdf4083f904224329fa5,101f86c7e7786dcfd0accdf4083f904224329fa5,"+org.mariadb.jdbc:mariadb-java-client
-org.postgresql:postgresql","+org.mariadb.jdbc:mariadb-java-client
-org.postgresql:postgresql","switch to mariadb
","switch to mariadb
",2017-04-07,2017-04-07,31,FundRequest,platform,,
1013,com.h2database:h2,mysql:mysql-connector-java,JoeCao_qbike,uc/pom.xml,ba1ba24af6b9a69ea6ed4d76ae61faf9191e4c0f,ba1ba24af6b9a69ea6ed4d76ae61faf9191e4c0f,"+mysql:mysql-connector-java
-com.h2database:h2","+mysql:mysql-connector-java
-com.h2database:h2","move to mysql and add trip service
","move to mysql and add trip service
",2017-11-20,2017-11-20,31,JoeCao,qbike,3c876617d0e3506205fd9d02dbf050a7565f796c,"{'Added': ['intention/src/main/java/club/newtech/qbike/intention/controller/RibbonHystrixController.java', 'intention/src/main/java/club/newtech/qbike/intention/domain/Status.java', 'intention/src/main/java/club/newtech/qbike/intention/domain/core/root/Intention.java', 'intention/src/main/java/club/newtech/qbike/intention/domain/core/vo/Customer.java', 'intention/src/main/java/club/newtech/qbike/intention/domain/repository/IntentionRepository.java', 'intention/src/main/java/club/newtech/qbike/intention/domain/service/IntentionService.java', 'intention/src/main/java/club/newtech/qbike/intention/infrastructure/UserRibbonHystrixApi.java', 'trip/src/main/java/club/newtech/qbike/trip/controller/TripController.java', 'trip/src/main/java/club/newtech/qbike/trip/domain/core/Status.java', 'trip/src/main/java/club/newtech/qbike/trip/domain/core/root/Trip.java', 'trip/src/main/java/club/newtech/qbike/trip/domain/repository/TripRepository.java', 'trip/src/main/java/club/newtech/qbike/trip/domain/service/TripService.java'], 'Modified': ['uc/src/main/java/club/newtech/qbike/uc/domain/root/User.java'], 'Deleted': ['intention/src/main/java/club/newtech/qbike/controller/RibbonHystrixController.java', 'intention/src/main/java/club/newtech/qbike/domain/core/root/Intention.java'], 'Renamed': [('intention/src/main/java/club/newtech/qbike/domain/core/vo/User.java', 'trip/src/main/java/club/newtech/qbike/trip/domain/core/vo/Driver.java'), ('intention/src/main/java/club/newtech/qbike/domain/core/service/UserRibbonHystrixService.java', 'trip/src/main/java/club/newtech/qbike/trip/infrastructure/UserRibbonHystrixApi.java')]}"
6683,org.apache.derby:derby,com.h2database:h2,wso2_ballerina-message-broker,modules/launcher/pom.xml,01a74c93a09157b00179bb2bb10acb8a2771bb9d,01a74c93a09157b00179bb2bb10acb8a2771bb9d,"+com.h2database:h2
-org.wso2.messaging:broker-cli-client
-org.apache.derby:derby","+com.h2database:h2
-org.wso2.messaging:broker-cli-client
-org.apache.derby:derby","Change db to H2 and exclude unwanted dependencies
","Change db to H2 and exclude unwanted dependencies
",2018-02-16,2018-02-16,31,wso2,ballerina-message-broker,de8269ef666d0df5afa45cc6e269e64cc92c3834,"{'Added': [], 'Modified': ['modules/broker-core/src/test/java/org/wso2/broker/core/DbUtil.java', 'modules/integration/src/test/java/org/wso2/messaging/integration/util/DbUtils.java'], 'Deleted': [], 'Renamed': []}"
1412,com.sun.jersey:jersey-core,org.glassfish.jersey.core:jersey-client,urbanairship_java-library,pom.xml,3389fb4a4b1cc5c130ac9fa1f948bb2488156cdf,3389fb4a4b1cc5c130ac9fa1f948bb2488156cdf,"+org.glassfish.jersey.core:jersey-client
-com.sun.jersey:jersey-server
-com.sun.jersey:jersey-core","+org.glassfish.jersey.core:jersey-client
-com.sun.jersey:jersey-server
-com.sun.jersey:jersey-core","Merge pull request #48 from urbanairship/update-guava

update guava and jersey versions","Merge pull request #48 from urbanairship/update-guava

update guava and jersey versions",2016-04-12,2016-04-12,21,urbanairship,java-library,5fc7c4fbef579d512cd22d22fb4f61c312b4b7b2,"{'Added': [], 'Modified': ['src/main/java/com/urbanairship/api/push/parse/notification/actions/ActionsReader.java', 'src/main/java/com/urbanairship/api/reports/Base64ByteArray.java', 'src/test/java/com/urbanairship/api/push/parse/notification/ParseActionsTest.java'], 'Deleted': [], 'Renamed': []}"
2243,commons-lang:commons-lang,org.apache.commons:commons-lang3,JULIELab_jcore-base,jcore-lingpipegazetteer-ae/pom.xml,73b0517f2cfcc20b5468722804e19591310ce401,73b0517f2cfcc20b5468722804e19591310ce401,"+org.apache.commons:commons-lang3
-commons-lang:commons-lang
-de.julielab:jcore-types","+org.apache.commons:commons-lang3
-commons-lang:commons-lang
-de.julielab:jcore-types","removed junit from individual poms;
removed jcore-types from individual poms and added it to jcore-base pom;
updated and unified other dependencies (guava, commons-lang3, etc.)","removed junit from individual poms;
removed jcore-types from individual poms and added it to jcore-base pom;
updated and unified other dependencies (guava, commons-lang3, etc.)",2015-11-03,2015-11-03,13,JULIELab,jcore-base,b0331f3963e5cdf6a509fefad891034d0cad81c4,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
3618,javax.mail:javax.mail-api,com.sun.mail:javax.mail,HubSpot_Singularity,pom.xml,67741baebf24971105d4a7db57a3387badad2c35,67741baebf24971105d4a7db57a3387badad2c35,"+com.sun.mail:javax.mail
-javax.mail:javax.mail-api","+com.sun.mail:javax.mail
-javax.mail:javax.mail-api","use com.sun.mail
","use com.sun.mail
",2014-09-19,2014-09-19,62,HubSpot,Singularity,c121ebf7d9bd39a6538a41808ae748c04cd23ab2,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
2418,commons-lang:commons-lang,org.apache.commons:commons-lang3,estatio_estatio,pom.xml,df5ad79e3f5d9b8b63411ea91e44f72d2e86b0e0,df5ad79e3f5d9b8b63411ea91e44f72d2e86b0e0,"+org.apache.commons:commons-lang3
-commons-lang:commons-lang","+org.apache.commons:commons-lang3
-commons-lang:commons-lang","EST-284, EST280: Add derived attribute to determine if indexation can be applied

* upgraded from common-lang to common-lang3
* added derived number to display to first non-null invoice number, collection number or invoice id
","EST-284, EST280: Add derived attribute to determine if indexation can be applied

* upgraded from common-lang to common-lang3
* added derived number to display to first non-null invoice number, collection number or invoice id
",2013-11-20,2013-11-20,13,estatio,estatio,bd7f89e9052a97ca5ade2c83536cf6930c4ec660,"{'Added': [], 'Modified': ['dom/src/main/java/org/estatio/api/Api.java', 'dom/src/main/java/org/estatio/dom/financial/utils/IBANValidator.java', 'dom/src/main/java/org/estatio/dom/index/Indexable.java', 'dom/src/main/java/org/estatio/dom/invoice/Invoice.java', 'dom/src/main/java/org/estatio/dom/lease/LeaseItem.java', 'dom/src/main/java/org/estatio/dom/lease/LeaseTerm.java', 'dom/src/main/java/org/estatio/dom/lease/LeaseTermForIndexableRent.java', 'dom/src/main/java/org/estatio/dom/valuetypes/LocalDateInterval.java', 'dom/src/test/java/org/estatio/dom/invoice/viewmodel/InvoiceSummaryForPropertyDueDateTest_viewModelInit.java', 'integtests/src/test/java/org/estatio/integration/tests/api/ApiIntegrationTest.java'], 'Deleted': ['dom/src/test/java/org/estatio/dom/lease/IndexationStatusTest.java'], 'Renamed': []}"
7095,org.apache.tomcat:tomcat-servlet-api,javax.servlet:javax.servlet-api,cegeka_batchers,taxcalculator/taxcalculator-presentation/pom.xml,11a1aca69df0adf5172cb18263ba20ed4806817b,11a1aca69df0adf5172cb18263ba20ed4806817b,"+javax.servlet:javax.servlet-api
-org.apache.tomcat:tomcat-servlet-api","+javax.servlet:javax.servlet-api
-org.apache.tomcat:tomcat-servlet-api","[tom] changed the dependency to the servlet api to reference the
standard one.","[tom] changed the dependency to the servlet api to reference the
standard one.",2014-05-26,2014-05-26,64,cegeka,batchers,c19273c08e1055f608dccb4fd0e4a36d48201a6f,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
884,com.google.code.gson:gson,com.alibaba:fastjson,hippo-band_hippo,hippo-common/pom.xml,227ca6473aac1893d14cacf9cd9e4aea7c4709e0,227ca6473aac1893d14cacf9cd9e4aea7c4709e0,"+com.alibaba:fastjson
-com.google.code.gson:gson","+com.alibaba:fastjson
-com.google.code.gson:gson","json序列化方式由gson改为fastjson.
","json序列化方式由gson改为fastjson.
",2017-08-19,2017-08-19,12,hippo-band,hippo,dbca5a7b0b89b37a528542d9351647952adfa572,"{'Added': ['hippo-common/src/main/java/com/github/hippo/util/FastJsonConvertUtils.java'], 'Modified': ['hippo-client/src/main/java/com/github/hippo/hystrix/HippoCommand.java', 'hippo-server/src/main/java/com/github/hippo/netty/HippoServerHandler.java'], 'Deleted': ['hippo-common/src/main/java/com/github/hippo/util/GsonConvertUtils.java'], 'Renamed': []}"
3616,javax.json:javax.json-api,org.glassfish:javax.json,stanfordnlp_CoreNLP,pom.xml,62e431ed1be7fe316351fa64947d172a98207768,62e431ed1be7fe316351fa64947d172a98207768,"+org.glassfish:javax.json
-javax.json:javax.json-api","+org.glassfish:javax.json
-javax.json:javax.json-api","update javax
","update javax
",2017-01-13,2017-01-13,3,stanfordnlp,CoreNLP,f300457f7bc0e96845bafac14af4bddf55f7dbae,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
1009,com.h2database:h2,mysql:mysql-connector-java,nilzao_soapbox-race,pom.xml,46050057add54b397e4dac6ea42dab202edefebf,46050057add54b397e4dac6ea42dab202edefebf,"+org.eclipse.persistence:org.eclipse.persistence.moxy
+mysql:mysql-connector-java
-com.h2database:h2","+org.eclipse.persistence:org.eclipse.persistence.moxy
+mysql:mysql-connector-java
-com.h2database:h2",Switch to MySQL,Switch to MySQL,2016-05-11,2016-05-11,31,nilzao,soapbox-race,98529bdd3abb70e4bfaacdeb2a7501aebade727e,"{'Added': [], 'Modified': [], 'Deleted': [], 'Renamed': []}"
3175,io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-registry-prometheus,HotelsDotCom_data-highway,monitoring/kafka-offset-metrics/pom.xml,d79ebc0c4b87d08e45489bdb0a49a1d2124b8439,d79ebc0c4b87d08e45489bdb0a49a1d2124b8439,"+org.springframework.boot:spring-boot-starter-web
+org.springframework.boot:spring-boot-starter-actuator
+io.micrometer:micrometer-registry-prometheus
-io.dropwizard.metrics:metrics-core
-javax.xml.bind:jaxb-api
-io.dropwizard.metrics:metrics-graphite",,"ROAD-1116: Micrometer all metrics (except truck park)
","ROAD-1116: Micrometer all metrics (except truck park)
",2019-01-18,2019-01-18,18,HotelsDotCom,data-highway,7f175375b3c193309094dd8308b77af61d40e57e,"{'Added': [], 'Modified': ['agent/tollbooth/road-tollbooth-app/src/test/java/com/hotels/road/tollbooth/app/TollboothAppIntegrationTest.java', 'monitoring/kafka-offset-metrics/src/main/java/com/hotels/road/kafka/offset/metrics/KafkaOffsetMetrics.java', 'monitoring/kafka-offset-metrics/src/main/java/com/hotels/road/kafka/offset/metrics/KafkaOffsetMetricsApp.java', 'monitoring/kafka-offset-metrics/src/test/java/com/hotels/road/kafka/offset/metrics/KafkaOffsetMetricsAppTest.java', 'monitoring/kafka-offset-metrics/src/test/java/com/hotels/road/kafka/offset/metrics/KafkaOffsetMetricsTest.java'], 'Deleted': ['agent/tollbooth/road-tollbooth-app/src/main/java/com/hotels/road/tollbooth/app/metrics/MetricsConfiguration.java'], 'Renamed': []}"
6562,org.apache.commons:commons-dbcp2,com.zaxxer:HikariCP,plan-player-analytics_Plan,Plan/pom.xml,349c556db44a52953aedb83fe7093e4d7e79aab6,349c556db44a52953aedb83fe7093e4d7e79aab6,"+com.zaxxer:HikariCP
-commons-logging:commons-logging
-org.apache.commons:commons-pool2
-org.apache.commons:commons-dbcp2","+com.zaxxer:HikariCP
-commons-logging:commons-logging
-org.apache.commons:commons-pool2
-org.apache.commons:commons-dbcp2","Replaced DHCP2 with HikariCP #660 (Possibly fixes #648)
","Replaced DHCP2 with HikariCP #660 (Possibly fixes #648)
",2018-07-27,2018-07-27,8,plan-player-analytics,Plan,a0737f2ca8e49ead39c3c53a276a753907d04023,"{'Added': [], 'Modified': ['Plan/src/main/java/com/djrapitops/plan/system/database/databases/sql/MySQLDB.java', 'Plan/src/main/java/com/djrapitops/plan/system/database/databases/sql/SQLDB.java', 'Plan/src/main/java/com/djrapitops/plan/system/database/databases/sql/SQLiteDB.java'], 'Deleted': [], 'Renamed': []}"
84,asm:asm,org.ow2.asm:asm,eclipse_sisu.inject,org.eclipse.sisu.inject/pom.xml,01ca345463fdaee4d5d72293bb7679fb5bc815ec,01ca345463fdaee4d5d72293bb7679fb5bc815ec,"+org.ow2.asm:asm
-asm:asm","+org.ow2.asm:asm
-asm:asm","Bug 406177: Upgrade to ASM4
","Bug 406177: Upgrade to ASM4
",2013-04-21,2013-04-21,5,eclipse,sisu.inject,c74e372155704044e64e03da9d58287eef537af7,"{'Added': [], 'Modified': ['org.eclipse.sisu.inject.tests/src/org/eclipse/sisu/space/QualifiedScanningTest.java', 'org.eclipse.sisu.inject/src/org/eclipse/sisu/space/QualifiedTypeVisitor.java', 'org.eclipse.sisu.inject/src/org/eclipse/sisu/space/QualifierCache.java'], 'Deleted': ['org.eclipse.sisu.inject/src/org/eclipse/sisu/space/EmptyAnnotationVisitor.java', 'org.eclipse.sisu.inject/src/org/eclipse/sisu/space/EmptyClassVisitor.java'], 'Renamed': []}"
6782,org.apache.kafka:kafka_2.11,org.springframework.kafka:spring-kafka,daydreamdev_seconds-kill,pom.xml,897cdc8a63731ca1403e6b186c767a4ee909fa2f,897cdc8a63731ca1403e6b186c767a4ee909fa2f,"+com.google.code.gson:gson
+com.alibaba:fastjson
+org.springframework.kafka:spring-kafka
+com.alibaba:druid-spring-boot-starter
-org.apache.kafka:kafka_2.11
-com.alibaba:druid","+com.google.code.gson:gson
+com.alibaba:fastjson
+org.springframework.kafka:spring-kafka
+com.alibaba:druid-spring-boot-starter
-org.apache.kafka:kafka_2.11
-com.alibaba:druid","Kafka 异步下单

1. 替换 Springboot 版本为 1.5，之前的 2.1 版本整合 spring-kafka 失败
2. 秒杀请求到来时，先校验库存，校验库存通过后，将下单请求发送给 kafka，然后通过 kafka 监听异步处理创建订单请求
","Kafka 异步下单

1. 替换 Springboot 版本为 1.5，之前的 2.1 版本整合 spring-kafka 失败
2. 秒杀请求到来时，先校验库存，校验库存通过后，将下单请求发送给 kafka，然后通过 kafka 监听异步处理创建订单请求
",2019-06-12,2019-06-12,83,daydreamdev,seconds-kill,c4fa2a2b35c9e3d6b8b3b59c34113c65456d5620,"{'Added': ['src/main/java/com/daydreamdev/secondskill/Kafka/ConsumerListen.java'], 'Modified': ['src/main/java/com/daydreamdev/secondskill/SecondsKillApplication.java', 'src/main/java/com/daydreamdev/secondskill/controller/IndexController.java', 'src/main/java/com/daydreamdev/secondskill/service/api/OrderService.java', 'src/main/java/com/daydreamdev/secondskill/service/impl/OrderServiceImpl.java'], 'Deleted': [], 'Renamed': []}"
13859,org.springframework.security.oauth:spring-security-oauth2,io.jsonwebtoken:jjwt,gravitee-io_graviteeio-access-management,gravitee-am-management-api/gravitee-am-management-api-handlers/gravitee-am-management-api-handlers-management/pom.xml,0b18ada3207991cdfd70a551c56af125d2a0efe1,0b18ada3207991cdfd70a551c56af125d2a0efe1,"+io.jsonwebtoken:jjwt
+org.springframework.security:spring-security-config
+org.springframework.security:spring-security-web
-org.springframework.security.oauth:spring-security-oauth2","+io.jsonwebtoken:jjwt
+org.springframework.security:spring-security-config
+org.springframework.security:spring-security-web
-org.springframework.security.oauth:spring-security-oauth2","feat(rest-api): replace spring security oauth2 with JWT cookie security mechanism
","feat(rest-api): replace spring security oauth2 with JWT cookie security mechanism
